strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
MN185329	zika	MN185329	2016-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN185329	?	?	?
OR535169	zika	OR535169	2020-XX-XX	Asia	Thailand	 Nakhon Ratchasima	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OR535169	?	?	?
KM014700	zika	KM014700	2014-01-28	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM014700	?	?	?
KY241689	zika	KY241689	2016-09-13	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241689	?	?	?
KY241710	zika	KY241710	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241710	?	?	?
LP836865	zika	LP836865	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP836865	?	?	?
LZ221255	zika	LZ221255	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LZ221255	?	?	?
MK271817	zika	MK271817	2016-02-13	Asia	Thailand	Phitsanulok	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK271817	?	?	?
MK282407	zika	MK282407	2016-09-08	Asia	Thailand	?	?	ENA	genome	H. Appassakij	https://www.ebi.ac.uk/ena/browser/view/MK282407	?	?	?
OK054401	zika	OK054401	2016-07-31	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054401	?	?	?
OM936189	zika	OM936189	2019-11-07	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OM936189	?	?	?
PC245348	zika	PC245348	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC245348	?	?	?
MK216694	zika	MK216694	2016-04-05	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216694	?	?	?
MK271853	zika	MK271853	2016-09-11	Asia	Thailand	Lop Buri	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK271853	?	?	?
MW122374	zika	MW122374	2016-04-27	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122374	?	?	?
MW122375	zika	MW122375	2016-07-13	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122375	?	?	?
MW122401	zika	MW122401	2016-09-15	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122401	?	?	?
KR816335	zika	KR816335	2015-05-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KR816335	?	?	?
KU501216	zika	KU501216	2015-12-01	North America	Guatemala	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU501216	?	?	?
KU707826	zika	KU707826	2015-07-01	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU707826	?	?	?
KU985088	zika	KU985088	2015-11-30	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU985088	?	?	?
KY075932	zika	KY075932	2016-03-22	North America	United States (USA)	Florida	?	ENA	genome	Florida Gulf Coast University	https://www.ebi.ac.uk/ena/browser/view/KY075932	?	?	?
KY561345	zika	KY561345	2016-02-24	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY561345	?	?	?
KY693676	zika	KY693676	2016-08-26	North America	Honduras	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY693676	?	?	?
KY785434	zika	KY785434	2016-08-17	North America	Dominican Republic	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785434	?	?	?
LP833792	zika	LP833792	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP833792	?	?	?
LP837158	zika	LP837158	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP837158	?	?	?
LQ729871	zika	LQ729871	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ729871	?	?	?
LQ868299	zika	LQ868299	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868299	?	?	?
MF098768	zika	MF098768	2016-08-25	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF098768	?	?	?
MG967275	zika	MG967275	2014-03-03	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG967275	?	?	?
MH157201	zika	MH157201	2016-06-28	North America	Mexico	 Chiapas	 Chiapas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH157201	?	?	?
MK216715	zika	MK216715	2016-02-10	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216715	?	?	?
MT377496	zika	MT377496	2016-11-20	Asia	Thailand	 Chonburi	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MT377496	?	?	?
MT377499	zika	MT377499	2016-12-08	Asia	Thailand	 Nakhon Pathom	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MT377499	?	?	?
MW122378	zika	MW122378	2016-07-01	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122378	?	?	?
MW122398	zika	MW122398	2016-09-19	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122398	?	?	?
MW122414	zika	MW122414	2016-08-15	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122414	?	?	?
MW122423	zika	MW122423	2016-10-06	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122423	?	?	?
MW122443	zika	MW122443	2016-08-31	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122443	?	?	?
MW122447	zika	MW122447	2016-06-27	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122447	?	?	?
MW915410	zika	MW915410	2017-01-24	Asia	Viet nam	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW915410	?	?	?
OK054398	zika	OK054398	2016-07-29	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054398	?	?	?
OP858736	zika	OP858736	2016-09-XX	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858736	?	?	?
OP858748	zika	OP858748	2016-10-XX	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858748	?	?	?
OP858766	zika	OP858766	2017-10-23	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858766	?	?	?
OP858771	zika	OP858771	2018-02-22	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858771	?	?	?
OQ947195	zika	OQ947195	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OQ947195	?	?	?
OR488126	zika	OR488126	2019-11-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OR488126	?	?	?
OR488129	zika	OR488129	2019-11-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OR488129	?	?	?
OR787462	zika	OR787462	2023-02-XX	North America	Mexico	 Tekax	 Tekax	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OR787462	?	?	?
PB147418	zika	PB147418	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PB147418	?	?	?
PB147419	zika	PB147419	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PB147419	?	?	?
PB147421	zika	PB147421	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PB147421	?	?	?
PB186186	zika	PB186186	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PB186186	?	?	?
PB186187	zika	PB186187	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PB186187	?	?	?
