strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
KY785484	zika	KY785484	2016-06-06	North America	Dominican Republic	?	?	ENA	genome	Massachusetts Department of Public Health,	https://www.ebi.ac.uk/ena/browser/view/KY785484	?	?	?
KY888678	zika	KY888678	2016-07-10	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY888678	?	?	?
KY968096	zika	KY968096	2016-02-01	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY968096	?	?	?
LC002520	zika	LC002520	XXXX-XX-XX	Africa	Uganda	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LC002520	?	?	?
LC171327	zika	LC171327	2016-07-20	Asia	Japan	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LC171327	?	?	?
LC190723	zika	LC190723	2016-05-20	Asia	Japan	 Yokohama	 Yokohama	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LC190723	?	?	?
LP833787	zika	LP833787	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP833787	?	?	?
LQ729867	zika	LQ729867	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ729867	?	?	?
LQ868273	zika	LQ868273	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868273	?	?	?
LQ868291	zika	LQ868291	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868291	?	?	?
MF077459	zika	MF077459	2016-06-05	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF077459	?	?	?
MF077461	zika	MF077461	2016-03-05	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF077461	?	?	?
MF077462	zika	MF077462	2016-07-07	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF077462	?	?	?
MF167360	zika	MF167360	2016-02-26	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF167360	?	?	?
MF434518	zika	MF434518	2016-08-26	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF434518	?	?	?
MF574554	zika	MF574554	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574554	?	?	?
MF574563	zika	MF574563	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574563	?	?	?
MF574575	zika	MF574575	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574575	?	?	?
MF574585	zika	MF574585	2016-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574585	?	?	?
MF574587	zika	MF574587	2016-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574587	?	?	?
MF629798	zika	MF629798	2013-07-10	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF629798	?	?	?
MF801405	zika	MF801405	2016-07-09	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801405	?	?	?
MF801412	zika	MF801412	2016-07-07	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801412	?	?	?
MF801422	zika	MF801422	2016-07-01	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801422	?	?	?
MG012230	zika	MG012230	2016-03-XX	South America	Colombia	 Bucaramanga	 Bucaramanga	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG012230	?	?	?
MG216928	zika	MG216928	2015-07-11	Oceania	Fiji	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG216928	?	?	?
MG287146	zika	MG287146	2017-06-29	Asia	India	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG287146	?	?	?
MG548660	zika	MG548660	2016-11-30	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG548660	?	?	?
MG758786	zika	MG758786	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG758786	?	?	?
MG770187	zika	MG770187	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG770187	?	?	?
MG807647	zika	MG807647	2017-09-07	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG807647	?	?	?
MG808114	zika	MG808114	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808114	?	?	?
MG808117	zika	MG808117	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808117	?	?	?
MG808118	zika	MG808118	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808118	?	?	?
MG808125	zika	MG808125	2017-04-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808125	?	?	?
MG808129	zika	MG808129	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808129	?	?	?
MG808130	zika	MG808130	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808130	?	?	?
MG808134	zika	MG808134	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808134	?	?	?
MG808137	zika	MG808137	2016-12-XX	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG808137	?	?	?
MG967277	zika	MG967277	2015-10-07	Oceania	Samoa	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG967277	?	?	?
MG982560	zika	MG982560	2014-04-16	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG982560	?	?	?
MG982561	zika	MG982561	2014-05-07	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG982561	?	?	?
MG982562	zika	MG982562	2014-05-15	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG982562	?	?	?
MG982563	zika	MG982563	2014-05-02	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG982563	?	?	?
MG982565	zika	MG982565	2014-05-14	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG982565	?	?	?
MG982569	zika	MG982569	2014-05-15	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG982569	?	?	?
MH061852	zika	MH061852	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061852	?	?	?
MH061854	zika	MH061854	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061854	?	?	?
MH061873	zika	MH061873	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061873	?	?	?
MH061879	zika	MH061879	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061879	?	?	?
MH061880	zika	MH061880	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061880	?	?	?
MH061886	zika	MH061886	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061886	?	?	?
MH061888	zika	MH061888	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061888	?	?	?
MH061905	zika	MH061905	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061905	?	?	?
MH063260	zika	MH063260	2017-08-08	North America	Cuba	?	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/MH063260	?	?	?
MH130043	zika	MH130043	2016-09-25	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH130043	?	?	?
MH130099	zika	MH130099	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH130099	?	?	?
MH130104	zika	MH130104	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH130104	?	?	?
MH130107	zika	MH130107	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH130107	?	?	?
MH157195	zika	MH157195	2016-08-24	North America	Mexico	 Chiapas	 Chiapas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH157195	?	?	?
MH157204	zika	MH157204	2016-10-25	North America	Mexico	 Chiapas	 Chiapas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH157204	?	?	?
MH306200	zika	MH306200	2015-08-XX	South America	Brazil	 MT	 MT	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH306200	?	?	?
MH306211	zika	MH306211	2017-04-25	Asia	Thailand	Rayong	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH306211	?	?	?
MH379778	zika	MH379778	2016-11-10	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH379778	?	?	?
MH513599	zika	MH513599	2015-12-11	South America	Brazil	 MT	 MT	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH513599	?	?	?
MH675628	zika	MH675628	2016-08-XX	?	?	?	?	ENA	genome	Laboratory of Emerging Pathogens	https://www.ebi.ac.uk/ena/browser/view/MH675628	?	?	?
MH718918	zika	MH718918	2013-01-03	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH718918	?	?	?
MH718919	zika	MH718919	2012-01-07	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH718919	?	?	?
MH882538	zika	MH882538	2016-07-12	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH882538	?	?	?
MH882540	zika	MH882540	2016-07-27	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH882540	?	?	?
MH882542	zika	MH882542	2016-04-19	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH882542	?	?	?
MK028538	zika	MK028538	2016-12-28	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK028538	?	?	?
MK049251	zika	MK049251	2016-08-30	South America	Colombia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK049251	?	?	?
MK216689	zika	MK216689	2016-03-14	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216689	?	?	?
MK216691	zika	MK216691	2016-03-15	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216691	?	?	?
MK216696	zika	MK216696	2016-04-08	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216696	?	?	?
MK216700	zika	MK216700	2017-04-26	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216700	?	?	?
MK216710	zika	MK216710	2016-02-03	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216710	?	?	?
MK216711	zika	MK216711	2016-02-10	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216711	?	?	?
MK216712	zika	MK216712	2016-02-10	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216712	?	?	?
MK216721	zika	MK216721	2016-01-25	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216721	?	?	?
MK216729	zika	MK216729	2015-12-16	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216729	?	?	?
MK216735	zika	MK216735	2017-03-20	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216735	?	?	?
MK237993	zika	MK237993	2017-XX-XX	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK237993	?	?	?
MK238035	zika	MK238035	2018-09-18	Asia	India	 Rajasthan state	 Rajasthan state	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK238035	?	?	?
MK271833	zika	MK271833	2016-09-13	Asia	Thailand	Nakhon Ratchasima	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK271833	?	?	?
MK282411	zika	MK282411	2016-09-08	Asia	Thailand	?	?	ENA	genome	H. Appassakij	https://www.ebi.ac.uk/ena/browser/view/MK282411	?	?	?
MN100039	zika	MN100039	2015-12-11	North America	Panama	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN100039	?	?	?
MN124090	zika	MN124090	2015-12-11	North America	Panama	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN124090	?	?	?
MN170712	zika	MN170712	2018-03-07	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN170712	?	?	?
MN755618	zika	MN755618	2016-01-XX	North America	Mexico	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN755618	?	?	?
MN755621	zika	MN755621	2010-XX-XX	Asia	Cambodia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN755621	?	?	?
MN755624	zika	MN755624	1947-04-20	Africa	Uganda	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN755624	?	?	?
MN938900	zika	MN938900	2015-07-27	Asia	Viet nam	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN938900	?	?	?
MP051955	zika	MP051955	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MP051955	?	?	?
MP830062	zika	MP830062	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MP830062	?	?	?
MT507050	zika	MT507050	2017-XX-XX	North America	Mexico	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MT507050	?	?	?
OK054400	zika	OK054400	2016-08-05	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054400	?	?	?
OK054428	zika	OK054428	2016-08-03	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054428	?	?	?
OK054439	zika	OK054439	2016-07-24	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054439	?	?	?
OK054445	zika	OK054445	2016-07-18	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054445	?	?	?
OK054448	zika	OK054448	2016-07-26	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054448	?	?	?
OK054487	zika	OK054487	2016-07-23	North America	Nicaragua	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OK054487	?	?	?
OL423656	zika	OL423656	2017-06-01	South America	Brazil	 Goais	 Goais	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OL423656	?	?	?
OL423657	zika	OL423657	2017-06-30	South America	Brazil	 Goais	 Goais	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OL423657	?	?	?
OL450366	zika	OL450366	2015-10-20	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OL450366	?	?	?
OM831154	zika	OM831154	2017-03-XX	South America	Ecuador	 Portobelo	 Portobelo	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OM831154	?	?	?
OM936192	zika	OM936192	2019-12-24	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OM936192	?	?	?
OP341468	zika	OP341468	2016-09-XX	North America	Mexico	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP341468	?	?	?
OP431393	zika	OP431393	2016-09-XX	North America	Mexico	 Maxcanu	 Maxcanu	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP431393	?	?	?
HW822069	zika	HW822069	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/HW822069	?	?	?
KF383022	zika	KF383022	1997-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383022	?	?	?
KF383032	zika	KF383032	1979-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383032	?	?	?
KF383069	zika	KF383069	1997-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383069	?	?	?
KF383076	zika	KF383076	1990-XX-XX	Africa	Cote d'Ivoire	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383076	?	?	?
KF383079	zika	KF383079	1990-XX-XX	Africa	Cote d'Ivoire	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383079	?	?	?
KF383087	zika	KF383087	1979-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383087	?	?	?
KF383092	zika	KF383092	2001-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383092	?	?	?
KF383094	zika	KF383094	2000-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383094	?	?	?
KF383100	zika	KF383100	1997-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383100	?	?	?
KF383103	zika	KF383103	1999-XX-XX	Africa	Cote d'Ivoire	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383103	?	?	?
KF383114	zika	KF383114	1979-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383114	?	?	?
KF383115	zika	KF383115	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383115	?	?	?
KM078939	zika	KM078939	2014-03-21	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078939	?	?	?
KM078941	zika	KM078941	2014-03-23	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078941	?	?	?
KM078943	zika	KM078943	2014-04-09	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078943	?	?	?
KM078950	zika	KM078950	2014-04-10	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078950	?	?	?
KM078961	zika	KM078961	2014-04-24	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078961	?	?	?
KM078970	zika	KM078970	2014-04-20	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078970	?	?	?
KM078973	zika	KM078973	2014-04-30	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078973	?	?	?
KM078975	zika	KM078975	2014-04-28	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078975	?	?	?
KM851039	zika	KM851039	2014-07-19	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM851039	?	?	?
KP099609	zika	KP099609	2014-03-11	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KP099609	?	?	?
KP099610	zika	KP099610	2014-04-08	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KP099610	?	?	?
KU179098	zika	KU179098	2014-12-30	Asia	Indonesia	Jambi	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU179098	?	?	?
KU232301	zika	KU232301	2015-05-25	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU232301	?	?	?
KU820899	zika	KU820899	2016-02-17	Asia	China	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU820899	?	?	?
KX156776	zika	KX156776	2015-12-18	North America	Panama	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX156776	?	?	?
KX447518	zika	KX447518	2013-12-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX447518	?	?	?
KX673530	zika	KX673530	2016-04-21	Europe	United Kingdom	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX673530	?	?	?
KX813683	zika	KX813683	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX813683	?	?	?
KX830960	zika	KX830960	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX830960	?	?	?
KY014304	zika	KY014304	2016-04-18	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY014304	?	?	?
KY075935	zika	KY075935	2016-07-16	North America	United States (USA)	 Miami-Dade County	 Miami-Dade County	ENA	genome	Florida Gulf Coast University	https://www.ebi.ac.uk/ena/browser/view/KY075935	?	?	?
KY075937	zika	KY075937	2016-09-09	North America	United States (USA)	 Miami Beach	 Miami Beach	ENA	genome	Florida Gulf Coast University	https://www.ebi.ac.uk/ena/browser/view/KY075937	?	?	?
KY241673	zika	KY241673	2016-09-04	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241673	?	?	?
KY241683	zika	KY241683	2016-09-08	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241683	?	?	?
KY241724	zika	KY241724	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241724	?	?	?
KY241741	zika	KY241741	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241741	?	?	?
KY241776	zika	KY241776	2016-09-05	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241776	?	?	?
KY241779	zika	KY241779	2016-09-06	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241779	?	?	?
KY317940	zika	KY317940	2016-01-09	South America	Colombia	?	?	ENA	genome	Antibody Systems Inc	https://www.ebi.ac.uk/ena/browser/view/KY317940	?	?	?
KY328289	zika	KY328289	2016-05-XX	North America	Honduras	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY328289	?	?	?
KY559024	zika	KY559024	2016-03-03	South America	Brazil	 Tocantins	 Tocantins	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559024	?	?	?
LG018115	zika	LG018115	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LG018115	?	?	?
LP833795	zika	LP833795	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP833795	?	?	?
LP836867	zika	LP836867	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP836867	?	?	?
LP837160	zika	LP837160	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP837160	?	?	?
LP940730	zika	LP940730	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940730	?	?	?
LP940735	zika	LP940735	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940735	?	?	?
LP940745	zika	LP940745	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940745	?	?	?
LQ729865	zika	LQ729865	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ729865	?	?	?
LQ729868	zika	LQ729868	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ729868	?	?	?
LQ729870	zika	LQ729870	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ729870	?	?	?
LQ729873	zika	LQ729873	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ729873	?	?	?
LQ868274	zika	LQ868274	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868274	?	?	?
LQ868279	zika	LQ868279	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868279	?	?	?
LQ868281	zika	LQ868281	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868281	?	?	?
LY589881	zika	LY589881	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LY589881	?	?	?
LY589883	zika	LY589883	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LY589883	?	?	?
LY720049	zika	LY720049	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LY720049	?	?	?
LY720057	zika	LY720057	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LY720057	?	?	?
LZ221257	zika	LZ221257	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LZ221257	?	?	?
MA847343	zika	MA847343	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MA847343	?	?	?
MA887900	zika	MA887900	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MA887900	?	?	?
MA887902	zika	MA887902	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MA887902	?	?	?
MA887907	zika	MA887907	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MA887907	?	?	?
MF574582	zika	MF574582	2016-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574582	?	?	?
MF783072	zika	MF783072	2016-06-27	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF783072	?	?	?
MF783073	zika	MF783073	2016-05-10	North America	Haiti	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF783073	?	?	?
